taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
3755903	Chenopodium subficifolium (Murray) F.Dvorák	3083838	Chenopodium album L.	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Amaranthaceae	3064	Chenopodium	3083823	Chenopodium album	3083838	NE
4105045	Elymus transhyrcanus (Nevski) Tzvelev	4105045	Elymus transhyrcanus (Nevski) Tzvelev	12	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Elymus	10465436	Elymus transhyrcanus	4105045	NE
5366531	Potentilla kotschyana Fenzl	5366531	Potentilla kotschyana Fenzl	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Potentilla	8079058	Potentilla kotschyana	5366531	NE
5570073	Ficus cordata subsp. salicifolia (Vahl) C.C.Berg	5571063	Ficus salicifolia Vahl	1	SUBSPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Moraceae	6640	Ficus	2984588	Ficus salicifolia	5571063	
6709172	Brassica napus f. annua (Schübl. & G.Martens) Thell.	3042636	Brassica napus L.	244	FORM	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Brassicales	7225535	Brassicaceae	3112	Brassica	3042506	Brassica napus	3042636	
2975027	Vicia sativa subsp. macrocarpa (Moris) Arcang.	2975027	Vicia sativa subsp. macrocarpa (Moris) Arcang.	105	SUBSPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Vicia	2974751	Vicia sativa	2975014	LC
2991626	Rubus canescens A.DC.	2991626	Rubus canescens A.DC.	15	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Rubus	2988638	Rubus canescens	2991626	NE
2993929	Rubus leucostachys Schleich. ex Sm.	2993929	Rubus leucostachys Schleich. ex Sm.	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Rubus	2988638	Rubus leucostachys	2993929	NE
2994482	Rubus ammobius Buchenau & Focke	2994482	Rubus ammobius Buchenau & Focke	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Rubus	2988638	Rubus ammobius	2994482	NE
5289670	Setaria adhaerens (Forssk.) Chiov.	5289670	Setaria adhaerens (Forssk.) Chiov.	10	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Setaria	2702955	Setaria adhaerens	5289670	NE
5611510	Phaseolus augusti Harms	5611510	Phaseolus augusti Harms	6	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Phaseolus	2947798	Phaseolus augusti	5611510	NE
7432512	Medicago falcata var. diffusa Schur	2965367	Medicago falcata subsp. falcata	1	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Medicago	2965200	Medicago falcata	2965354	
7686668	Zea mays var. rubra Bonaf.	7546411	Zea mays subsp. mays	3	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Zea	2705049	Zea mays	5290052	
8320554	Hordeum vulgare var. medicum Korn.	4932619	Hordeum vulgare subsp. vulgare	60	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Hordeum	2706050	Hordeum vulgare	2706056	
2768909	Asparagus officinalis subsp. prostratus (Dumort.) Corb.	2768911	Asparagus prostratus Dumort.	1	SUBSPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Asparagaceae	7683	Asparagus	9527393	Asparagus prostratus	2768911	
2856787	Allium tanguticum Regel	2856787	Allium tanguticum Regel	6	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Amaryllidaceae	7682	Allium	9624496	Allium tanguticum	2856787	NE
2857341	Allium zebdanense Boiss. & Noë	2857341	Allium zebdanense Boiss. & Noë	4	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Amaryllidaceae	7682	Allium	9624496	Allium zebdanense	2857341	NE
2931899	Solanum ferrugineum Jacq.	2931899	Solanum ferrugineum Jacq.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Solanales	1176	Solanaceae	7717	Solanum	2928997	Solanum ferrugineum	2931899	NE
3040697	Coincya transtagana (Cout.) Clem.-Muñoz & Hern.-Berm.	3040697	Coincya transtagana (Cout.) Clem.-Muñoz & Hern.-Berm.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Brassicales	7225535	Brassicaceae	3112	Coincya	3040581	Coincya transtagana	3040697	NE
3140309	Lactuca intricata Boiss.	3140309	Lactuca intricata Boiss.	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Lactuca	3140231	Lactuca intricata	3140309	NE
5356480	Lathyrus roseus Steven	5356480	Lathyrus roseus Steven	130	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Lathyrus	10356062	Lathyrus roseus	5356480	LC
5827621	Aegilops speltoides subsp. speltoides	5827621	Aegilops speltoides subsp. speltoides	2	SUBSPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Aegilops	2703501	Aegilops speltoides	5289790	
6712210	Prunus japonica f. thunbergii (Koehne) Koehne	3020565	Prunus japonica Thunb.	1	FORM	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Prunus	3020559	Prunus japonica	3020565	
7272137	Prunus emarginata (Douglas ex Hook.) Eaton	7272137	Prunus emarginata (Douglas ex Hook.) Eaton	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Prunus	3020559	Prunus emarginata	7272137	LC
7651609	Medicago sphaerocarpa Costa	2965461	Medicago turbinata (L.) All.	6	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Medicago	2965200	Medicago turbinata	2965461	NE
8084586	Beta vulgaris subsp. perennis (L.) Aellen	5383922	Beta maritima L.	5	SUBSPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Amaranthaceae	3064	Beta	3083586	Beta maritima	5383922	
2856718	Allium huber-morathii Kollmann, Özhatay & Koyuncu	2856718	Allium huber-morathii Kollmann, Özhatay & Koyuncu	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Amaryllidaceae	7682	Allium	9624496	Allium huber-morathii	2856718	NE
2930526	Solanum distichum Schumach. & Thonn.	2931542	Solanum anguivi Lam.	2	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Solanales	1176	Solanaceae	7717	Solanum	2928997	Solanum anguivi	2931542	NE
2931992	Solanum chomatophilum Bitter	2931992	Solanum chomatophilum Bitter	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Solanales	1176	Solanaceae	7717	Solanum	2928997	Solanum chomatophilum	2931992	NE
2982573	Vigna luteola (Jacq.) Benth.	2982573	Vigna luteola (Jacq.) Benth.	15	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Vigna	2982372	Vigna luteola	2982573	LC
3032986	Diospyros virginiana L.	3032986	Diospyros virginiana L.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ericales	1353	Ebenaceae	6709	Diospyros	3030169	Diospyros virginiana	3032986	LC
3662027	Pistacia khinjuk Stocks	3662027	Pistacia khinjuk Stocks	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Sapindales	933	Anacardiaceae	2398	Pistacia	3190459	Pistacia khinjuk	3662027	LC
