title,wikidataURL,ISSN-L,openAlexID,IPNIpubID,ZooBankPubID,dissolvedYear,dissolved,source
Jahrbuch der Deutschen Kakteen-Gesellschaft,http://www.wikidata.org/entity/Q5924790,,,8242-2,,,,IPNI or ZooBank ID
Memorias del Museo de Paraná,http://www.wikidata.org/entity/Q59134808,,,3678-2,,,,IPNI or ZooBank ID
Aphids and Other Hemipterous Insects,http://www.wikidata.org/entity/Q21386154,2081-853X,,,A4AA28FD-7C05-472C-A421-2D74A97FE85F,,,IPNI or ZooBank ID
Annales de la Société Scientifique de Bruxelles,http://www.wikidata.org/entity/Q89659455,0373-0735,,20039837-1,,,,IPNI or ZooBank ID
Verhandlungen der Gesellschaft Naturforschender Freunde zu Berlin,http://www.wikidata.org/entity/Q15827720,2944-4624,,20013496-2,,,,IPNI or ZooBank ID
Anales de la Sociedad Científica Argentina,http://www.wikidata.org/entity/Q5674325,0037-8437,,1416-2,CE5FE683-A1D9-4B04-A93D-1C9835687259,,,IPNI or ZooBank ID
Mémoires de la Société Linnéenne de Normandie,http://www.wikidata.org/entity/Q6035787,,,3483-2,,,,IPNI or ZooBank ID
Notes Pteridologiques,http://www.wikidata.org/entity/Q6045578,,,8035-2,,,,IPNI or ZooBank ID
Cactologia Phantastica,http://www.wikidata.org/entity/Q107363186,2590-3403,,20027998-1,,,,IPNI or ZooBank ID
PlantNow,http://www.wikidata.org/entity/Q109570387,2675-4622,,20027292-1,,,,IPNI or ZooBank ID
Historia et Commentationes Academiae Electoralis Scientiarum et Elegantiorum Litterarum Theodoro-Palatinae,http://www.wikidata.org/entity/Q343114,,,4785-2,,,,IPNI or ZooBank ID
Iowa State Journal of Research,http://www.wikidata.org/entity/Q47068075,0092-6345,,2377-2,,,,IPNI or ZooBank ID
Trudy Botanicheskogo Instituta Akademii Nauk SSSR. Ser. 1. Flora i Sistematika Vyssikh Rastenii,http://www.wikidata.org/entity/Q6153379,1606-4844,,4089-2,,,,IPNI or ZooBank ID
Bulletin de la Société d'Histoire Naturelle de l'Afrique du Nord,http://www.wikidata.org/entity/Q5735497,,,582-2,,,,IPNI or ZooBank ID
Q16538629,http://www.wikidata.org/entity/Q16538629,,,4709-2,,,,IPNI or ZooBank ID
