OTU_ID	taxonomy	kingdom	phylum	class	order	Confidence
1120	Root;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Trichosphaeriales	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	1
1121	Root;k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	1
1122	Root;k__Protozoa;p__Metamonada;c__Anaeromonadea;o__Oxymonadida	Protozoa	Metamonada	Anaeromonadea	Oxymonadida	1
1123	Root;k__Chromista;p__Ochrophyta;c__Bacillariophyceae;o__	Chromista	Ochrophyta	Bacillariophyceae		1
1124	Root;k__Chromista;p__Myzozoa;c__;o__Eugregarinida	Chromista	Myzozoa		Eugregarinida	1
1125	Root;k__Chromista;p__Foraminifera;c__Globothalamea;o__	Chromista	Foraminifera	Globothalamea		1
1126	Root;k__Chromista;p__Ochrophyta;c__Bacillariophyceae;o__Triceratiales	Chromista	Ochrophyta	Bacillariophyceae	Triceratiales	1
1127	Root;k__Chromista;p__Ochrophyta;c__Bacillariophyceae;o__Bacillariales	Chromista	Ochrophyta	Bacillariophyceae	Bacillariales	1
1128	Root;k__Chromista;p__Ciliophora;c__Gymnostomatea;o__Haptorida	Chromista	Ciliophora	Gymnostomatea	Haptorida	1
1129	Root;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Acrospermales	Fungi	Ascomycota	Dothideomycetes	Acrospermales	1
1130	Root;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales	Fungi	Ascomycota	Sordariomycetes	Xylariales	1
1131	Root;k__Protozoa;p__Amoebozoa;c__Lobosa;o__Arcellinida	Protozoa	Amoebozoa	Lobosa	Arcellinida	1
1132	Root;k__Protozoa;p__Microsporidia;c__Microsporea;o__Dissociodihaplophasida	Protozoa	Microsporidia	Microsporea	Dissociodihaplophasida	1
1133	Root;k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Acarosporales	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	1
1134	Root;k__Chromista;p__Myzozoa;c__;o__	Chromista	Myzozoa			1
1135	Root;k__Chromista;p__Ciliophora;c__Oligohymenophorea;o__Peritrichida	Chromista	Ciliophora	Oligohymenophorea	Peritrichida	1
1136	Root;k__Chromista;p__Myzozoa;c__Dinophyceae;o__Gonyaulacales	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	1
1137	Root;k__Chromista;p__Ochrophyta;c__Phaeophyceae;o__Cutleriales	Chromista	Ochrophyta	Phaeophyceae	Cutleriales	1
1138	Root;k__Chromista;p__Ochrophyta;c__Phaeophyceae;o__Nemodermatales	Chromista	Ochrophyta	Phaeophyceae	Nemodermatales	1
1139	Root;k__Chromista;p__Ochrophyta;c__Bacillariophyceae;o__Thalassiosirales	Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	1
1140	Root;k__Chromista;p__Ochrophyta;c__Bacillariophyceae;o__Melosirales	Chromista	Ochrophyta	Bacillariophyceae	Melosirales	1
1141	Root;k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Rhytismatales	Fungi	Ascomycota	Leotiomycetes	Rhytismatales	1
1142	Root;k__Protozoa;p__Mycetozoa;c__;o__	Protozoa	Mycetozoa			1
1143	Root;k__Chromista;p__Foraminifera;c__Globothalamea;o__Robertinida	Chromista	Foraminifera	Globothalamea	Robertinida	1
1144	Root;k__Chromista;p__Ochrophyta;c__Bacillariophyceae;o__Paraliales	Chromista	Ochrophyta	Bacillariophyceae	Paraliales	1
1145	Root;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Myrmecridiales	Fungi	Ascomycota	Sordariomycetes	Myrmecridiales	1
1146	Root;k__Chromista;p__Ochrophyta;c__Bacillariophyceae;o__Rhizosoleniales	Chromista	Ochrophyta	Bacillariophyceae	Rhizosoleniales	1
