"kingdom","order","count"
"Bacteria","CAILMK01",9
"Bacteria","CAIMUX01",7
"Bacteria","CAINFC01",1
"Bacteria","CAIPTA01",2
"Bacteria","CAIQBE01",1
"Bacteria","CAIRSR01",2
"Bacteria","CAIRYL01",2
"Bacteria","CAISDR01",1
"Bacteria","CAISOG01",2
"Bacteria","CAISUE01",3
"Bacteria","CAIUCS01",1
"Bacteria","CAIUEV01",7
"Bacteria","CAIUPP01",1
"Bacteria","CAIVPW01",3
"Bacteria","CAIWAD01",2
"Bacteria","CAIXNZ01",4
"Bacteria","CAIXZC01",3
"Bacteria","CAIYCZ01",7
"Bacteria","CAIYYT01",3
"Bacteria","CAJBMM01",1
"Bacteria","CAJFEE01",1
"Bacteria","CAJQNE01",1
"Animalia","Calanoida",2850
"Fungi","Calcarisporiellales",1
"Bacteria","Caldalkalibacillales",2
"Archaea","Caldarchaeales",18
"Bacteria","Calderihabitantales",1
"Bacteria","Caldicellulosiruptorales",13
"Bacteria","Caldicoprobacterales",28
"Bacteria","Caldilineales",21
"Bacteria","Caldisericales",7
"Bacteria","Calditerricolales",3
"Bacteria","Calditrichales",10
"Bacteria","Calescibacteriales",3
"Fungi","Caliciales",1557
"Animalia","Callipodida",162
"Animalia","Callochitonida",55
"Plantae","Calobryales",9
"Animalia","Caloneurodea",34
"Fungi","Calosphaeriales",88
"Animalia","Camarodonta",404
"Animalia","Cambojiida",1
"Bacteria","Campylobacterales",330
"Fungi","Cancellidiales",7
"Fungi","Candelariales",78
"Plantae","Canellales",99
"Fungi","Cantharellales",978
"Animalia","Capilloventrida",6
"Fungi","Capnodiales",1641
"Animalia","Caprimulgiformes",128
"Animalia","Capsalidea",258
"Bacteria","Carboxydocellales",2
"Bacteria","Carboxydothermales",5
"Animalia","Carcharhiniformes",537
"Animalia","Cardiida",3816
"Bacteria","Cardiobacteriales",22
"Plantae","Cardiopteridales",129
"Animalia","Carditida",1631
"Animalia","Cariamiformes",8
